state,pop
alabama,4822023
alaska,731449
arizona,6553255
arkansas,2949131
california,38041430
colorado,5187582
connecticut,3590347
delaware,917092
district of columbia,632323
florida,19317568
georgia,9919945
hawaii,1392313
idaho,1595728
illinois,12875255
indiana,6537334
iowa,3074186
kansas,2885905
kentucky,4380415
louisiana,4601893
maine,1329192
maryland,5884563
massachusetts,6646144
michigan,9883360
minnesota,5379139
mississippi,2984926
missouri,6021988
montana,1005141
nebraska,1855525
nevada,2758931
new hampshire,1320718
new jersey,8864590
new mexico,2085538
new york,19570261
north carolina,9752073
north dakota,699628
ohio,11544225
oklahoma,3814820
oregon,3899353
pennsylvania,12763536
rhode island,1050292
south carolina,4723723
south dakota,833354
tennessee,6456243
texas,26059203
utah,2855287
vermont,626011
virginia,8185867
washington,6897012
west virginia,1855413
wisconsin,5726398
wyoming,576412